"Name of Satellite, Alternate Names"	Country/Org of UN Registry	Country of Operator/Owner	Operator/Owner	Users	Purpose	Detailed Purpose	Class of Orbit	Type of Orbit	Longitude of GEO (degrees)	Perigee (km)	Apogee (km)	Eccentricity	Inclination (degrees)	Period (minutes)	Launch Mass (kg.)	Dry Mass (kg.)	Power (watts)	Date of Launch	Expected Lifetime	Contractor	Country of Contractor	Launch Site	Launch Vehicle	COSPAR Number	NORAD Number	Comments		Source Used for Orbital Data	Source	Source	Source	Source	Source	Source																																																																																																																																																																																																																												
Luch/Olympus	NR (1/15)	Russia	Ministry of Defense	Military	Communications		GEO		95	"35,781"	"35,793"	1.42E-04	0.05	1436.12				9/27/2014	15 yrs.	ISS Reshetnev	Russia	Baikonur Cosmodrome	Proton M	2014-058A	40258	Likely serve as a data relay station for military satellites when they are orbiting the Earth beyond the range of ground stations. 		ZARYA	http://www.russianspaceweb.com/olymp.html	http://www.zarya.info/Diaries/Launches/Launches.php?year=2014																																																																																																																																																																																																																																
Maroc Tubsat 	NR	Morocco/Germany	CTRS Morocco/Institut für Luft-und Raumfahrttechnik (Berlin)	Government	Technology Development		LEO	Sun-Synchronous	0	984	"1,014"	2.04E-03	99.2	105.1	47		56	12/10/2001	2-3 yrs.	CRTS Morocco/Institut für Luft-und Raumfahrttechnik	Morocco/Germany	Baikonur Cosmodrome	Zenit	2001-056D	27004	Test three-dimensional attitude control system for future remote sensing; currently used for ice observation in Arctic.		www.satellitedebris.net 12/12	http://www.vectronic-aerospace.com/html/body_maroc-tubsat.html	http://nssdc.gsfc.nasa.gov/spacewarn/spx578.html	http://www.ilr.tu-berlin.de/RFA/MAROC-TUBSAT/MAROC-TUBSAT.htm	http://www.vectronic-aerospace.com/html/maroc-tubsat.html																																																																																																																																																																																																																														
M-Cubed/E1P-U2 (Michigan Multipurpose Minisat; Explorer 1 Prime - Unit 2 -  HRBE [William A. Hiscock Radiation Belt Explorer])	USA	USA	University of Michigan/Montana University	Civil	Technology Development		LEO		0	442	724	2.03E-02	101.7	97.45	2			10/28/2011		University of Michigan/Montana University/Montana Space Grant Consortium	USA	Vandenberg AFB	Delta 7920	2011-061F	37855	M-Cubed is as a technology demonstrator platform for high resolution imaging technology intended for use in a future Nasa mission; E1P-U2 mission is to detect the Van Allen radiation belts.		WT	http://www.ne.jp/asahi/hamradio/je9pel/satslist.htm	http://www.lib.cas.cz/space.40/2011/061F.HTM	https://directory.eoportal.org/web/eoportal/satellite-missions/m/m3-mcubed																																																																																																																																																																																																																															
Measat 2 (Malaysia East Asia Sat 2)	Malaysia	Malaysia	MEASAT Satellite Systems Sdn. Bhd.	Commercial	Communications		GEO		148.00	"35,782"	"35,791"	1.07E-04	1.09	1436.12	"1,450"	650	"1,200 (BOL)"	11/14/1996	11.5 yrs.	Boeing Satellite Systems	USA	Guiana Space Center	Ariane 44L	1996-063B	24653	"Brought back from retirement 9/11, highly inclined. Digital video and audio broadcasting, international and domestic VSAT and telecommunication services as well as high-speed Internet access; 6 C-band, 9 Ku-band; Malaysia and neighboring countries."		JM/12_08	http://www.boeing.com/defense-space/space/bss/factsheets/376/measat/measat.html	http://nssdc.gsfc.nasa.gov/spacewarn/spx517.html	http://www.measat.com.my/company_profile.html	http://www.measat.com/media_press_2011.html		http://www.mlesat.com/Measat.html																																																																																																																																																																																																																												
Measat 3 (Malaysia East Asia Sat 3)	Malaysia	Malaysia	MEASAT Satellite Systems Sdn. Bhd.	Commercial	Communications		GEO		91.54	"35,778"	"35,794"	1.90E-04	0	1436.1	"4,900"	"3,220"	"10,800"	12/11/2006	15 yrs.	Boeing Satellite Systems	USA	Baikonur Cosmodrome	Proton M	2006-056A	29648	"24 C-band, 24 Ku-band"		JM/12_08	http://www.boeing.com/defense-space/space/bss/factsheets/601/measat3/measat3.html	http://www.lib.cas.cz/www/space.40/INDEX1.HTM																																																																																																																																																																																																																																
Measat 3A (Malaysia East Asia Sat 3A)	Malaysia	Malaysia	MEASAT Satellite Systems Sdn. Bhd.	Commercial	Communications		GEO		91.5	"35,728"	"35,788"	7.12E-04	0.04	1434.6	"2,417"			6/21/2009	15 yrs.	Orbital Sciences Corp.	USA	Baikonur Cosmodrome	Zenit 3SLB	2009-032A	35362	"12 C-band, 12 Ku-band transponders, Asia-Pacific region, Middle East, and Africa."		SC - ASCR	http://nssdc.gsfc.nasa.gov/spacewarn/spx668.html	http://www.lib.cas.cz/space.40/2009/032A.HTM																																																																																																																																																																																																																																
Measat 3B (Malaysia East Asia Sat 3B)	Malaysia	Malaysia	MEASAT Satellite Systems Sdn. Bhd.	Commercial	Communications		GEO		91.5	"35,772"	"35,802"	3.56E-04	0.05	1436.11	"5,800"		"16,000"	9/11/2014	15 yrs.	Airbus Defence and Space	Germany/France	Guiana Space Center	Ariane 5 ECA	2014-054B	40147	48 Ku-band transponders.		ZARYA	http://www.arianespace.com/news-mission-update/2014/1156.asp	http://www.zarya.info/Diaries/Launches/Launches.php?year=2014	http://www.space-airbusds.com/en/programme/-measat-3b.html																																																																																																																																																																																																																															
Megha-Tropiques	India	India/France	Indian Space Research Organization (ISRO)/Centre National d'Etudes Spatiales (CNES)	Government	Earth Observation	Earth Science	LEO		0	853	868	1.04E-03	20	102.2	"1,000"			10/12/2011	5 yrs.	Indian Space Research Organization (ISRO)	India	Sriharikota Launch Station	PSLV	2011-058A	37838	The data collected by the satellite will allow improvement in knowledge on the water cycle contribution to the climate dynamic in the tropical atmosphere and our understanding of the processes linked to the tropical convection.		www.satellitedebris.net 12/12	http://smsc.cnes.fr/MEGHAT/	http://smsc.cnes.fr/MEGHAT/	http://www.lib.cas.cz/space.40/2011/058A.HTM	http://www.thehindu.com/sci-tech/science/article2531801.ece																																																																																																																																																																																																																														
"Mercury 1 (Advanced Vortex 1, USA 105)"	USA	USA	National Reconnaissance Office (NRO)/USAF	Military	Earth Observation	Electronic Intelligence	GEO		-27.95	"35,598"	"35,976"	4.48E-03	5.1	1436.13	"8,000"	"4,000"		8/27/1994		Boeing Satellite Systems	USA	Cape Canaveral	Titan IVA	1994-054A	23223	In the $1 billion range; ELINT; signals intelligence.		JM/12_08	http://reseau.echelon.free.fr/reseau.echelon/satellites.htm	http://www.globalsecurity.org/space/systems/vortex2.htm	http://nssdc.gsfc.nasa.gov/spacewarn/spx491.html	http://www.lib.cas.cz/www/space.40/1994/054A.HTM																																																																																																																																																																																																																														
"Mercury 2 (Advanced Vortex 2, USA 118)"	USA	USA	National Reconnaissance Office (NRO)/USAF	Military	Earth Observation	Electronic Intelligence	GEO		-23.51	"33,674"	"37,900"	5.01E-02	7.33	1436.12	"8,000"	"4,000"		4/24/1996		Boeing Satellite Systems	USA	Cape Canaveral	Titan IVA	1996-026A	23855	In the $1 billion range; ELINT; signals intelligence.		JM/12_08	http://reseau.echelon.free.fr/reseau.echelon/satellites.htm	http://www.globalsecurity.org/space/systems/vortex2.htm	http://nssdc.gsfc.nasa.gov/spacewarn/spx511.html	http://www.lib.cas.cz/www/space.40/1996/026A.HTM																																																																																																																																																																																																																														
"Mercury 3 (NROL 67, USA 250)"	NR (12/1/14)	USA	National Reconnaissance Office (NRO)/USAF	Military	Earth Observation	Electronic Intelligence	GEO		0	"35,500"	"35,500"	0.00E+00	7	1436	"3,900"			4/10/2014		Unknown	USA	Cape Canaveral	Atlas 5	2014-020A	39652	Speculated to be a new SIGINT satellite - not verified.		Approximate	http://www.nasaspaceflight.com/2014/04/atlas-v-nrol-67-military-mission/																																																																																																																																																																																																																																	
Meridian-3	Russia	Russia	Military Space Forces (VKS)	Military	Communications		Elliptical	Molniya	0	"2,253"	"38,105"	6.75E-01	62.85	645.98	"2,500"			11/2/2010		PO Polyot	Russia	Plesetsk Cosmodrome	Soyuz 2-1a	2010-058A	37212	"Military communications - designed to replace Molniya and Parus spacecraft; this is the third of the series, first success."		WT	http://www.russianspaceweb.com/meridian.html	http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/058A.HTM																																																																																																																																																																																																																																
Meridian-4	Russia	Russia	Military Space Forces (VKS)	Military	Communications		Elliptical	Molniya	0	"1,722"	"38,637"	6.95E-01	64.47	717.88	"2,500"			5/4/2011		PO Polyot	Russia	Plesetsk Cosmodrome	Soyuz 2-1a	2011-018A	37398	Military communications - designed to replace Molniya and Parus spacecraft; this is the fourth of the series.		WT	http://en.rian.ru/russia/20110505/163862104.html	http://www.satelliteonthenet.co.uk/index.php/launch-history	http://nssdc.gsfc.nasa.gov/spacewarn/spx691.html	http://www.lib.cas.cz/space.40/2011/018A.HTM																																																																																																																																																																																																																														
Meridian-6 (Meridian 16L)	Russia	Russia	Military Space Forces (VKS)	Military	Communications		Elliptical	Molniya	0	"1,494"	"38,860"	7.04E-01	63.77	718.04	"2,500"			11/14/2012	7 yrs.	ISS Reshetnev	Russia	Plesetsk Cosmodrome	Soyuz 2-1a	2012-063A	38995	Military communications - designed to replace Molniya and Parus spacecraft; this is the sixth of the series.		WT	http://www.spaceflightnow.com/news/n1211/14soyuz/#.UOXk3nfitK1	http://space50.kosmo.cz/s40/2012/I063A.HTM																																																																																																																																																																																																																																
